L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,984,1,984,
L1_AlwaysTrue,-1,984,0,0,
L1_BPTX_AND_Ref1_VME,-1,984,0,0,
L1_BPTX_AND_Ref3_VME,-1,984,0,0,
L1_BPTX_AND_Ref4_VME,-1,984,0,0,
L1_BPTX_BeamGas_B1_VME,-1,984,0,0,
L1_BPTX_BeamGas_B2_VME,-1,984,0,0,
L1_BPTX_BeamGas_Ref1_VME,-1,984,0,0,
L1_BPTX_BeamGas_Ref2_VME,-1,984,0,0,
L1_BPTX_NotOR_VME,-1,984,0,0,
L1_BPTX_OR_Ref3_VME,-1,984,0,0,
L1_BPTX_OR_Ref4_VME,-1,984,0,0,
L1_BPTX_RefAND_VME,-1,984,0,0,
L1_BptxMinus,-1,984,0,0,
L1_BptxOR,-1,984,0,0,
L1_BptxPlus,-1,984,0,0,
L1_BptxXOR,-1,984,0,0,
L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,-1,984,6,0,
L1_DoubleEG8er2p5_HTT260er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT280er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT300er,-1,984,1,0,
L1_DoubleEG8er2p5_HTT320er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT340er,-1,984,0,0,
L1_DoubleEG_15_10_er2p5,-1,984,0,0,
L1_DoubleEG_20_10_er2p5,-1,984,0,0,
L1_DoubleEG_22_10_er2p5,-1,984,0,0,
L1_DoubleEG_25_12_er2p5,-1,984,1,0,
L1_DoubleEG_25_14_er2p5,-1,984,0,0,
L1_DoubleEG_27_14_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso20_10_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso22_10_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso22_12_er2p5,-1,984,1,0,
L1_DoubleEG_LooseIso25_12_er2p5,-1,984,0,0,
L1_DoubleIsoTau28er2p1,-1,984,0,0,
L1_DoubleIsoTau28er2p1_Mass_Max80,-1,984,0,0,
L1_DoubleIsoTau28er2p1_Mass_Max90,-1,984,0,0,
L1_DoubleIsoTau30er2p1,-1,984,0,0,
L1_DoubleIsoTau30er2p1_Mass_Max80,-1,984,0,0,
L1_DoubleIsoTau30er2p1_Mass_Max90,-1,984,0,0,
L1_DoubleIsoTau32er2p1,-1,984,1,0,
L1_DoubleIsoTau34er2p1,-1,984,0,0,
L1_DoubleIsoTau36er2p1,-1,984,0,0,
L1_DoubleJet100er2p3_dEta_Max1p6,-1,984,0,0,
L1_DoubleJet100er2p5,-1,984,170,0,
L1_DoubleJet112er2p3_dEta_Max1p6,-1,984,1,0,
L1_DoubleJet120er2p5,-1,984,70,0,
L1_DoubleJet150er2p5,-1,984,1,0,
L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,-1,984,1,0,
L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp,-1,984,0,0,
L1_DoubleJet40er2p5,-1,984,8400,0,
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,-1,984,0,0,
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,-1,984,0,0,
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,-1,984,0,0,
L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,-1,984,1,0,
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,-1,984,0,0,
L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,-1,984,0,0,
L1_DoubleJet_80_30_Mass_Min420_DoubleMu0_SQ,-1,984,0,0,
L1_DoubleJet_80_30_Mass_Min420_IsoTau40_RmOvlp,-1,984,0,0,
L1_DoubleJet_80_30_Mass_Min420_Mu8,-1,984,0,0,
L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,-1,984,0,0,
L1_DoubleLooseIsoEG22er2p1,-1,984,1,0,
L1_DoubleLooseIsoEG24er2p1,-1,984,0,0,
L1_DoubleMu0,-1,984,0,0,
L1_DoubleMu0_Mass_Min1,-1,984,0,0,
L1_DoubleMu0_OQ,-1,984,0,0,
L1_DoubleMu0_SQ,-1,984,1500,0,
L1_DoubleMu0_SQ_OS,-1,984,0,0,
L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,-1,984,1,0,
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,-1,984,1,0,
L1_DoubleMu0er1p5_SQ,-1,984,0,0,
L1_DoubleMu0er1p5_SQ_OS,-1,984,450,0,
L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,-1,984,1,0,
L1_DoubleMu0er1p5_SQ_dR_Max1p4,-1,984,2,0,
L1_DoubleMu0er2p0_SQ_OS_dR_Max1p4,-1,984,0,0,
L1_DoubleMu0er2p0_SQ_dR_Max1p4,-1,984,0,0,
L1_DoubleMu18er2p1,-1,984,1,0,
L1_DoubleMu3_OS_DoubleEG7p5Upsilon,-1,984,1,0,
L1_DoubleMu3_SQ_ETMHF50_HTT60er,-1,984,0,0,
L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,-1,984,1,0,
L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,-1,984,1,0,
L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,-1,984,0,0,
L1_DoubleMu3_SQ_HTT220er,-1,984,1,0,
L1_DoubleMu3_SQ_HTT240er,-1,984,0,0,
L1_DoubleMu3_SQ_HTT260er,-1,984,0,0,
L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,-1,984,0,0,
L1_DoubleMu4_SQ_EG9er2p5,-1,984,0,0,
L1_DoubleMu4_SQ_OS,-1,984,700,0,
L1_DoubleMu4_SQ_OS_dR_Max1p2,-1,984,1,0,
L1_DoubleMu4p5_SQ_OS,-1,984,800,0,
L1_DoubleMu4p5_SQ_OS_dR_Max1p2,-1,984,1,0,
L1_DoubleMu4p5er2p0_SQ_OS,-1,984,80,0,
L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,-1,984,1,0,
L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,-1,984,1,0,
L1_DoubleMu5Upsilon_OS_DoubleEG3,-1,984,1,0,
L1_DoubleMu5_SQ_EG9er2p5,-1,984,1,0,
L1_DoubleMu8_SQ,-1,984,1,0,
L1_DoubleMu9_SQ,-1,984,1,0,
L1_DoubleMu_12_5,-1,984,0,0,
L1_DoubleMu_15_5_SQ,-1,984,1,0,
L1_DoubleMu_15_7,-1,984,1,0,
L1_DoubleMu_15_7_Mass_Min1,-1,984,0,0,
L1_DoubleMu_15_7_SQ,-1,984,1,0,
L1_DoubleTau70er2p1,-1,984,1,0,
L1_ETM120,-1,984,0,0,
L1_ETM150,-1,984,1,0,
L1_ETMHF100,-1,984,1,0,
L1_ETMHF100_HTT60er,-1,984,1,0,
L1_ETMHF110,-1,984,0,0,
L1_ETMHF110_HTT60er,-1,984,0,0,
L1_ETMHF110_HTT60er_NotSecondBunchInTrain,-1,984,0,0,
L1_ETMHF120,-1,984,0,0,
L1_ETMHF120_HTT60er,-1,984,0,0,
L1_ETMHF120_NotSecondBunchInTrain,-1,984,0,0,
L1_ETMHF130,-1,984,0,0,
L1_ETMHF130_HTT60er,-1,984,0,0,
L1_ETMHF140,-1,984,0,0,
L1_ETMHF150,-1,984,0,0,
L1_ETMHF90_HTT60er,-1,984,0,0,
L1_ETT1200,-1,984,0,0,
L1_ETT1600,-1,984,0,0,
L1_ETT2000,-1,984,0,0,
L1_FirstBunchAfterTrain,-1,984,269167,0,
L1_FirstBunchBeforeTrain,-1,984,269167,0,
L1_FirstBunchInTrain,-1,984,269167,0,
L1_FirstCollisionInOrbit,-1,984,1103,0,
L1_FirstCollisionInTrain,-1,984,269167,0,
L1_HCAL_LaserMon_Trig,-1,984,0,0,
L1_HCAL_LaserMon_Veto,-1,984,0,0,
L1_HTT120er,-1,984,11400,0,
L1_HTT160er,-1,984,4100,0,
L1_HTT200er,-1,984,1600,0,
L1_HTT255er,-1,984,500,0,
L1_HTT280er,-1,984,0,0,
L1_HTT280er_QuadJet_70_55_40_35_er2p4,-1,984,0,0,
L1_HTT320er,-1,984,0,0,
L1_HTT320er_QuadJet_70_55_40_40_er2p4,-1,984,1,0,
L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,-1,984,1,0,
L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,-1,984,0,0,
L1_HTT360er,-1,984,1,0,
L1_HTT400er,-1,984,0,0,
L1_HTT450er,-1,984,0,0,
L1_IsoEG32er2p5_Mt40,-1,984,1,0,
L1_IsoEG32er2p5_Mt44,-1,984,0,0,
L1_IsoEG32er2p5_Mt48,-1,984,0,0,
L1_IsoTau40er2p1_ETMHF100,-1,984,0,0,
L1_IsoTau40er2p1_ETMHF110,-1,984,0,0,
L1_IsoTau40er2p1_ETMHF80,-1,984,0,0,
L1_IsoTau40er2p1_ETMHF90,-1,984,1,0,
L1_IsolatedBunch,-1,984,110,0,
L1_LastBunchInTrain,-1,984,0,0,
L1_LastCollisionInTrain,-1,984,69167,0,
L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,-1,984,1,0,
L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,-1,984,1,0,
L1_LooseIsoEG24er2p1_HTT100er,-1,984,0,0,
L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,-1,984,0,0,
L1_LooseIsoEG26er2p1_HTT100er,-1,984,1,0,
L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3,-1,984,0,0,
L1_LooseIsoEG28er2p1_HTT100er,-1,984,0,0,
L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,-1,984,1,0,
L1_LooseIsoEG30er2p1_HTT100er,-1,984,0,0,
L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,-1,984,0,0,
L1_MinimumBiasHF0_AND_BptxAND,-1,984,0,0,
L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,-1,984,0,0,
L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,-1,984,0,0,
L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,-1,984,1,0,
L1_Mu18er2p1_Tau24er2p1,-1,984,1,0,
L1_Mu18er2p1_Tau26er2p1,-1,984,0,0,
L1_Mu20_EG10er2p5,-1,984,1,0,
L1_Mu22er2p1_IsoTau28er2p1,-1,984,0,0,
L1_Mu22er2p1_IsoTau30er2p1,-1,984,0,0,
L1_Mu22er2p1_IsoTau32er2p1,-1,984,1,0,
L1_Mu22er2p1_IsoTau34er2p1,-1,984,0,0,
L1_Mu22er2p1_IsoTau36er2p1,-1,984,0,0,
L1_Mu22er2p1_IsoTau40er2p1,-1,984,0,0,
L1_Mu22er2p1_Tau70er2p1,-1,984,1,0,
L1_Mu3_Jet120er2p5_dR_Max0p4,-1,984,3,0,
L1_Mu3_Jet120er2p5_dR_Max0p8,-1,984,3,0,
L1_Mu3_Jet16er2p5_dR_Max0p4,-1,984,400,0,
L1_Mu3_Jet30er2p5,-1,984,11000,0,
L1_Mu3_Jet35er2p5_dR_Max0p4,-1,984,256,0,
L1_Mu3_Jet60er2p5_dR_Max0p4,-1,984,52,0,
L1_Mu3_Jet80er2p5_dR_Max0p4,-1,984,13,0,
L1_Mu3er1p5_Jet100er2p5_ETMHF40,-1,984,1,0,
L1_Mu3er1p5_Jet100er2p5_ETMHF50,-1,984,0,0,
L1_Mu5_EG23er2p5,-1,984,0,0,
L1_Mu5_LooseIsoEG20er2p5,-1,984,0,0,
L1_Mu6_DoubleEG10er2p5,-1,984,0,0,
L1_Mu6_DoubleEG12er2p5,-1,984,1,0,
L1_Mu6_DoubleEG15er2p5,-1,984,0,0,
L1_Mu6_DoubleEG17er2p5,-1,984,0,0,
L1_Mu6_HTT240er,-1,984,1,0,
L1_Mu6_HTT250er,-1,984,0,0,
L1_Mu7_EG20er2p5,-1,984,1,0,
L1_Mu7_EG23er2p5,-1,984,0,0,
L1_Mu7_LooseIsoEG20er2p5,-1,984,1,0,
L1_Mu7_LooseIsoEG23er2p5,-1,984,0,0,
L1_NotBptxOR,-1,984,0,0,
L1_QuadJet36er2p5_IsoTau52er2p1,-1,984,190,0,
L1_QuadJet60er2p5,-1,984,0,0,
L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,-1,984,1,0,
L1_QuadMu0,-1,984,0,0,
L1_QuadMu0_OQ,-1,984,0,0,
L1_QuadMu0_SQ,-1,984,0,0,
L1_SecondBunchInTrain,-1,984,0,0,
L1_SecondLastBunchInTrain,-1,984,0,0,
L1_SingleEG10er2p5,-1,984,7600,0,
L1_SingleEG15er2p5,-1,984,1350,0,
L1_SingleEG26er2p5,-1,984,780,0,
L1_SingleEG28_FWD2p5,-1,984,45,0,
L1_SingleEG28er1p5,-1,984,0,0,
L1_SingleEG28er2p1,-1,984,0,0,
L1_SingleEG28er2p5,-1,984,0,0,
L1_SingleEG34er2p5,-1,984,0,0,
L1_SingleEG36er2p5,-1,984,1,0,
L1_SingleEG38er2p5,-1,984,0,0,
L1_SingleEG40er2p5,-1,984,0,0,
L1_SingleEG42er2p5,-1,984,0,0,
L1_SingleEG45er2p5,-1,984,0,0,
L1_SingleEG50,-1,984,0,0,
L1_SingleEG60,-1,984,1,0,
L1_SingleEG8er2p5,-1,984,44000,0,
L1_SingleIsoEG24er1p5,-1,984,0,0,
L1_SingleIsoEG24er2p1,-1,984,0,0,
L1_SingleIsoEG26er1p5,-1,984,0,0,
L1_SingleIsoEG26er2p1,-1,984,0,0,
L1_SingleIsoEG26er2p5,-1,984,0,0,
L1_SingleIsoEG28_FWD2p5,-1,984,0,0,
L1_SingleIsoEG28er1p5,-1,984,0,0,
L1_SingleIsoEG28er2p1,-1,984,0,0,
L1_SingleIsoEG28er2p5,-1,984,1,0,
L1_SingleIsoEG30er2p1,-1,984,0,0,
L1_SingleIsoEG30er2p5,-1,984,0,0,
L1_SingleIsoEG32er2p1,-1,984,0,0,
L1_SingleIsoEG32er2p5,-1,984,0,0,
L1_SingleIsoEG34er2p5,-1,984,0,0,
L1_SingleJet10erHE,-1,984,0,0,
L1_SingleJet120,-1,984,350,0,
L1_SingleJet120_FWD3p0,-1,984,40,0,
L1_SingleJet120er2p5,-1,984,0,0,
L1_SingleJet12erHE,-1,984,0,0,
L1_SingleJet140er2p5,-1,984,0,0,
L1_SingleJet140er2p5_ETMHF70,-1,984,0,0,
L1_SingleJet140er2p5_ETMHF80,-1,984,0,0,
L1_SingleJet140er2p5_ETMHF90,-1,984,0,0,
L1_SingleJet160er2p5,-1,984,0,0,
L1_SingleJet180,-1,984,1,0,
L1_SingleJet180er2p5,-1,984,1,0,
L1_SingleJet200,-1,984,0,0,
L1_SingleJet20er2p5_NotBptxOR,-1,984,4000,0,
L1_SingleJet20er2p5_NotBptxOR_3BX,-1,984,0,0,
L1_SingleJet35,-1,984,64000,0,
L1_SingleJet35_FWD3p0,-1,984,103000,0,
L1_SingleJet35er2p5,-1,984,0,0,
L1_SingleJet43er2p5_NotBptxOR_3BX,-1,984,0,0,
L1_SingleJet46er2p5_NotBptxOR_3BX,-1,984,0,0,
L1_SingleJet60,-1,984,17000,0,
L1_SingleJet60_FWD3p0,-1,984,770,0,
L1_SingleJet60er2p5,-1,984,0,0,
L1_SingleJet8erHE,-1,984,0,0,
L1_SingleJet90,-1,984,1500,0,
L1_SingleJet90_FWD3p0,-1,984,250,0,
L1_SingleJet90er2p5,-1,984,0,0,
L1_SingleLooseIsoEG26er1p5,-1,984,0,0,
L1_SingleLooseIsoEG26er2p5,-1,984,0,0,
L1_SingleLooseIsoEG28_FWD2p5,-1,984,0,0,
L1_SingleLooseIsoEG28er1p5,-1,984,0,0,
L1_SingleLooseIsoEG28er2p1,-1,984,1,0,
L1_SingleLooseIsoEG28er2p5,-1,984,1,0,
L1_SingleLooseIsoEG30er1p5,-1,984,0,0,
L1_SingleLooseIsoEG30er2p5,-1,984,1,0,
L1_SingleMu0_BMTF,-1,984,0,0,
L1_SingleMu0_DQ,-1,984,0,0,
L1_SingleMu0_EMTF,-1,984,0,0,
L1_SingleMu0_OMTF,-1,984,0,0,
L1_SingleMu10er1p5,-1,984,0,0,
L1_SingleMu12_DQ_BMTF,-1,984,0,0,
L1_SingleMu12_DQ_EMTF,-1,984,0,0,
L1_SingleMu12_DQ_OMTF,-1,984,0,0,
L1_SingleMu12er1p5,-1,984,0,0,
L1_SingleMu14er1p5,-1,984,0,0,
L1_SingleMu15_DQ,-1,984,1300,0,
L1_SingleMu16er1p5,-1,984,0,0,
L1_SingleMu18,-1,984,210,0,
L1_SingleMu18er1p5,-1,984,0,0,
L1_SingleMu20,-1,984,0,0,
L1_SingleMu22,-1,984,1,0,
L1_SingleMu22_BMTF,-1,984,0,0,
L1_SingleMu22_EMTF,-1,984,0,0,
L1_SingleMu22_OMTF,-1,984,0,0,
L1_SingleMu25,-1,984,1,0,
L1_SingleMu3,-1,984,22000,0,
L1_SingleMu5,-1,984,1700,0,
L1_SingleMu6er1p5,-1,984,0,0,
L1_SingleMu7,-1,984,200,0,
L1_SingleMu7_DQ,-1,984,0,0,
L1_SingleMu7er1p5,-1,984,0,0,
L1_SingleMu8er1p5,-1,984,0,0,
L1_SingleMu9er1p5,-1,984,0,0,
L1_SingleMuCosmics,-1,984,0,0,
L1_SingleMuCosmics_BMTF,-1,984,0,0,
L1_SingleMuCosmics_EMTF,-1,984,0,0,
L1_SingleMuCosmics_OMTF,-1,984,0,0,
L1_SingleMuOpen,-1,984,63000,0,
L1_SingleMuOpen_NotBptxOR,-1,984,4000,0,
L1_SingleMuOpen_er1p1_NotBptxOR_3BX,-1,984,0,0,
L1_SingleMuOpen_er1p4_NotBptxOR_3BX,-1,984,0,0,
L1_SingleTau120er2p1,-1,984,1,0,
L1_SingleTau130er2p1,-1,984,0,0,
L1_TOTEM_1,-1,984,0,0,
L1_TOTEM_2,-1,984,0,0,
L1_TOTEM_3,-1,984,0,0,
L1_TOTEM_4,-1,984,0,0,
L1_TripleEG16er2p5,-1,984,1,0,
L1_TripleEG_16_12_8_er2p5,-1,984,0,0,
L1_TripleEG_16_15_8_er2p5,-1,984,0,0,
L1_TripleEG_18_17_8_er2p5,-1,984,1,0,
L1_TripleEG_18_18_12_er2p5,-1,984,0,0,
L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,-1,984,0,0,
L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,-1,984,0,0,
L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,-1,984,1,0,
L1_TripleMu0,-1,984,0,0,
L1_TripleMu0_OQ,-1,984,0,0,
L1_TripleMu0_SQ,-1,984,0,0,
L1_TripleMu3,-1,984,0,0,
L1_TripleMu3_SQ,-1,984,1,0,
L1_TripleMu_5SQ_3SQ_0OQ,-1,984,35,0,
L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,-1,984,1,0,
L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,-1,984,1,0,
L1_TripleMu_5_3_3,-1,984,1,0,
L1_TripleMu_5_3_3_SQ,-1,984,1,0,
L1_TripleMu_5_3p5_2p5,-1,984,35,0,
L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,-1,984,1,0,
L1_TripleMu_5_3p5_2p5_OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17,-1,984,0,0,
L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,-1,984,1,0,
L1_TripleMu_5_5_3,-1,984,1,0,
L1_UnpairedBunchBptxMinus,-1,984,0,0,
L1_UnpairedBunchBptxPlus,-1,984,0,0,
L1_ZeroBias,-1,984,17881,0,
L1_ZeroBias_copy,-1,984,0,0,
ï»¿Name,-1,984,32743,0,
